Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2018,1,La Pampa,75269,66109,5,292,3
2018,1,La Rioja,35980,31602,2,139,1
2018,1,Mendoza,360420,316562,26,1,15
2018,1,Misiones,103398,90815,7,401,4
2018,1,Neuquén,97217,85386,7,377,4
2018,1,Río Negro,139844,122826,10,542,6
2018,1,Salta,134030,117720,9,519,5
2018,1,San Juan,115192,101175,8,446,5
2018,1,San Luis,44327,38933,3,172,1
2018,1,Santa Cruz,44206,38827,3,171,1
2018,1,Santa Fe,689027,605181,50,2,30
2018,1,Santiago del Estero,57141,50188,4,221,2
2018,1,Tierra del Fuego,33372,29311,2,129,1
2018,1,Tucumán,214755,188622,15,832,9
2017,4,Buenos Aires,4881863,4268288,343,18,252
2017,4,Capital Federal,1618260,1414870,113,5,83
2017,4,Catamarca,38665,33805,2,143,1
2017,4,Chaco,102077,89247,7,377,5
2017,4,Chubut,122592,107185,8,452,6
2017,4,Córdoba,704306,615786,49,2,36
2017,4,Corrientes,102049,89223,7,376,5
2017,4,Entre Ríos,223126,195082,15,823,11
2017,4,Formosa,41139,35968,2,152,2
2017,4,Jujuy,56418,49327,3,208,2
2017,4,La Pampa,83364,72886,5,308,4
2017,4,La Rioja,37770,33023,2,139,1
2017,4,Mendoza,381118,333217,26,1,19
2017,4,Misiones,115189,100711,8,425,5
2017,4,Neuquén,101846,89046,7,376,5
2017,4,Río Negro,145598,127299,10,537,7
2017,4,Salta,139346,121832,9,514,7
2017,4,San Juan,114113,99771,8,421,5
2017,4,San Luis,53797,47036,3,198,2
2017,4,Santa Cruz,47233,41297,3,174,2
2017,4,Santa Fe,742944,649567,52,2,38
2017,4,Santiago del Estero,64481,56376,4,238,3
2017,4,Tierra del Fuego,38952,34056,2,144,2
2017,4,Tucumán,211561,184971,14,781,10
2017,3,Buenos Aires,4780187,4166450,341,17,254
2017,3,Capital Federal,1605054,1398978,114,5,85
2017,3,Catamarca,38840,33853,2,142,2
2017,3,Chaco,102824,89623,7,376,5
2017,3,Chubut,118225,103046,8,433,6
2017,3,Córdoba,704433,613989,50,2,37
2017,3,Corrientes,102558,89391,7,375,5
2017,3,Entre Ríos,224703,195853,16,822,11
2017,3,Formosa,41233,35939,2,151,2
2017,3,Jujuy,56581,49316,4,207,3
2017,3,La Pampa,82810,72178,5,303,4
2017,3,La Rioja,38014,33133,2,139,2
2017,3,Mendoza,377803,329297,27,1,20
2017,3,Misiones,110690,96478,7,405,5
2017,3,Neuquén,101751,88687,7,372,5
2017,3,Río Negro,143888,125414,10,526,7
2017,3,Salta,139723,121784,9,511,7
2017,3,San Juan,112398,97968,8,411,5
2017,3,San Luis,53793,46886,3,197,2
2017,3,Santa Cruz,44728,38985,3,164,2
2017,3,Santa Fe,739999,644988,52,2,39
2017,3,Santiago del Estero,65541,57126,4,240,3
2017,3,Tierra del Fuego,38815,33832,2,142,2
2017,3,Tucumán,211547,184386,15,774,11
2017,2,Buenos Aires,4916108,4280149,359,18,258
2017,2,Capital Federal,1580199,1375781,115,5,83
2017,2,Catamarca,38551,33564,2,141,2
2017,2,Chaco,103002,89678,7,378,5
2017,2,Chubut,115321,100403,8,423,6
2017,2,Córdoba,703322,612339,51,2,36
2017,2,Corrientes,102444,89192,7,376,5
2017,2,Entre Ríos,225017,195908,16,826,11
2017,2,Formosa,40743,35472,2,150,2
2017,2,Jujuy,56381,49087,4,207,2
2017,2,La Pampa,81939,71338,5,301,4
2017,2,La Rioja,37869,32970,2,139,1
2017,2,Mendoza,370071,322197,27,1,19
2017,2,Misiones,110533,96234,8,406,5
2017,2,Neuquén,98956,86155,7,363,5
2017,2,Río Negro,141053,122805,10,518,7
2017,2,Salta,139208,121199,10,511,7
2017,2,San Juan,107299,93418,7,394,5
2017,2,San Luis,53178,46299,3,195,2
2017,2,Santa Cruz,44254,38530,3,162,2
2017,2,Santa Fe,741843,645875,54,2,38
2017,2,Santiago del Estero,66024,57484,4,242,3
2017,2,Tierra del Fuego,37976,33064,2,139,1
2017,2,Tucumán,210228,183031,15,772,11
2017,1,Buenos Aires,4872542,4259081,343,18,252
2017,1,Capital Federal,1608800,1406249,113,5,83
2017,1,Catamarca,38665,33797,2,143,2
2017,1,Chaco,102077,89226,7,377,5
2017,1,Chubut,122592,107157,8,453,6
2017,1,Córdoba,702744,614267,49,2,36
2017,1,Corrientes,102049,89201,7,377,5
2017,1,Entre Ríos,223126,195034,15,825,11
2017,1,Formosa,41139,35959,2,152,2
2017,1,Jujuy,56418,49314,3,209,2
2017,1,La Pampa,83364,72868,5,308,4
2017,1,La Rioja,37770,33015,2,140,1
2017,1,Mendoza,381118,333135,26,1,19
2017,1,Misiones,115189,100687,8,426,5
2017,1,Neuquén,101846,89023,7,376,5
2017,1,Río Negro,145598,127267,10,538,7
2017,1,Salta,139346,121802,9,515,7
2017,1,San Juan,114113,99745,8,422,5
2017,1,San Luis,53797,47024,3,199,2
2017,1,Santa Cruz,47233,41286,3,175,2
2017,1,Santa Fe,741856,648454,52,2,38
2017,1,Santiago del Estero,64481,56363,4,238,3
2017,1,Tierra del Fuego,38952,34047,2,144,2
2017,1,Tucumán,211561,184925,14,782,10
2016,4,Buenos Aires,4881863,4268288,343,18,252
2016,4,Capital Federal,1618260,1414870,113,5,83
2016,4,Catamarca,38665,33805,2,143,1
2016,4,Chaco,102077,89247,7,377,5
2016,4,Chubut,122592,107185,8,452,6
2016,4,Córdoba,704306,615786,49,2,36
2016,4,Corrientes,102049,89223,7,376,5
2016,4,Entre Ríos,223126,195082,15,823,11
2016,4,Formosa,41139,35968,2,152,2
2016,4,Jujuy,56418,49327,3,208,2
2016,4,La Pampa,83364,72886,5,308,4
2016,4,La Rioja,37770,33023,2,139,1
2016,4,Mendoza,381118,333217,26,1,19
2016,4,Misiones,115189,100711,8,425,5
2016,4,Neuquén,101846,89046,7,376,5
2016,4,Río Negro,145598,127299,10,537,7
2016,4,Salta,139346,121832,9,514,7
2016,4,San Juan,114113,99771,8,421,5
2016,4,San Luis,53797,47036,3,198,2
2016,4,Santa Cruz,47233,41297,3,174,2
2016,4,Santa Fe,742944,649567,52,2,38
2016,4,Santiago del Estero,64481,56376,4,238,3
2016,4,Tierra del Fuego,38952,34056,2,144,2
2016,4,Tucumán,211561,184971,14,781,10
2016,3,Buenos Aires,4780187,4166450,341,17,254
2016,3,Capital Federal,1605054,1398978,114,5,85
2016,3,Catamarca,38840,33853,2,142,2
2016,3,Chaco,102824,89623,7,376,5
2016,3,Chubut,118225,103046,8,433,6
2016,3,Córdoba,704433,613989,50,2,37
2016,3,Corrientes,102558,89391,7,375,5
2016,3,Entre Ríos,224703,195853,16,822,11
2016,3,Formosa,41233,35939,2,151,2
2016,3,Jujuy,56581,49316,4,207,3
2016,3,La Pampa,82810,72178,5,303,4
2016,3,La Rioja,38014,33133,2,139,2
2016,3,Mendoza,377803,329297,27,1,20
2016,3,Misiones,110690,96478,7,405,5
2016,3,Neuquén,101751,88687,7,372,5
2016,3,Río Negro,143888,125414,10,526,7
2016,3,Salta,139723,121784,9,511,7
2016,3,San Juan,112398,97968,8,411,5
2016,3,San Luis,53793,46886,3,197,2
2016,3,Santa Cruz,44728,38985,3,164,2
2016,3,Santa Fe,739999,644988,52,2,39
2016,3,Santiago del Estero,65541,57126,4,240,3
2016,3,Tierra del Fuego,38815,33832,2,142,2
2016,3,Tucumán,211547,184386,15,774,11
2016,2,Buenos Aires,4916108,4280149,359,18,258
2016,2,Capital Federal,1580199,1375781,115,5,83
2016,2,Catamarca,38551,33564,2,141,2
2016,2,Chaco,103002,89678,7,378,5
2016,2,Chubut,115321,100403,8,423,6
2016,2,Córdoba,703322,612339,51,2,36
2016,2,Corrientes,102444,89192,7,376,5
2016,2,Entre Ríos,225017,195908,16,826,11
2016,2,Formosa,40743,35472,2,150,2
2016,2,Jujuy,56381,49087,4,207,2
2016,2,La Pampa,81939,71338,5,301,4
2016,2,La Rioja,37869,32970,2,139,1
2016,2,Mendoza,370071,322197,27,1,19
2016,2,Misiones,110533,96234,8,406,5
2016,2,Neuquén,98956,86155,7,363,5
2016,2,Río Negro,141053,122805,10,518,7
2016,2,Salta,139208,121199,10,511,7
2016,2,San Juan,107299,93418,7,394,5
2016,2,San Luis,53178,46299,3,195,2
2016,2,Santa Cruz,44254,38530,3,162,2
2016,2,Santa Fe,741843,645875,54,2,38
2016,2,Santiago del Estero,66024,57484,4,242,3
2016,2,Tierra del Fuego,37976,33064,2,139,1
2016,2,Tucumán,210228,183031,15,772,11
2016,1,Buenos Aires,4872542,4259081,343,18,252
2016,1,Capital Federal,1608800,1406249,113,5,83
2016,1,Catamarca,38665,33797,2,143,2
2016,1,Chaco,102077,89226,7,377,5
2016,1,Chubut,122592,107157,8,453,6
2016,1,Córdoba,702744,614267,49,2,36
2016,1,Corrientes,102049,89201,7,377,5
2016,1,Entre Ríos,223126,195034,15,825,11
2016,1,Formosa,41139,35959,2,152,2
2016,1,Jujuy,56418,49314,3,209,2
2016,1,La Pampa,83364,72868,5,308,4
2016,1,La Rioja,37770,33015,2,140,1
2016,1,Mendoza,381118,333135,26,1,19
2016,1,Misiones,115189,100687,8,426,5
2016,1,Neuquén,101846,89023,7,376,5
2016,1,Río Negro,145598,127267,10,538,7
2016,1,Salta,139346,121802,9,515,7
2016,1,San Juan,114113,99745,8,422,5
2016,1,San Luis,53797,47024,3,199,2
2016,1,Santa Cruz,47233,41286,3,175,2
2016,1,Santa Fe,741856,648454,52,2,38
2016,1,Santiago del Estero,64481,56363,4,238,3
2016,1,Tierra del Fuego,38952,34047,2,144,2
2016,1,Tucumán,211561,184925,14,782,10
2015,4,Buenos Aires,4713888,3960199,474,16,262
2015,4,Capital Federal,1572421,1321012,158,5,87
2015,4,Catamarca,39268,32990,3,138,2
2015,4,Chaco,103362,86836,10,364,5
2015,4,Chubut,110994,93247,11,391,6
2015,4,Córdoba,721431,606084,72,2,40
2015,4,Corrientes,107615,90409,10,379,6
2015,4,Entre Ríos,228781,192202,23,806,12
2015,4,Formosa,41567,34920,4,147,2
2015,4,Jujuy,56957,47850,5,201,3
2015,4,La Pampa,79736,66987,8,281,4
2015,4,La Rioja,38574,32406,3,136,2
2015,4,Mendoza,361160,303416,36,1,20
2015,4,Misiones,111733,93868,11,394,6
2015,4,Neuquén,108302,90986,10,382,6
2015,4,Río Negro,135095,113495,13,476,7
2015,4,Salta,141131,118566,14,497,7
2015,4,San Juan,104387,87697,10,368,5
2015,4,San Luis,53012,44536,5,187,2
2015,4,Santa Cruz,52927,44465,5,187,2
2015,4,Santa Fe,758242,637008,76,2,42
2015,4,Santiago del Estero,68531,57573,6,242,3
2015,4,Tierra del Fuego,35528,29848,3,125,1
2015,4,Tucumán,213717,179546,21,753,11
2015,3,Buenos Aires,4713132,3922463,513,16,260
2015,3,Capital Federal,1627395,1354386,177,5,89
2015,3,Catamarca,39243,32660,4,138,2
2015,3,Chaco,107211,89225,11,376,5
2015,3,Chubut,110101,91630,12,386,6
2015,3,Córdoba,727761,605673,79,2,40
2015,3,Corrientes,110808,92219,12,388,6
2015,3,Entre Ríos,235242,195778,25,825,12
2015,3,Formosa,41803,34789,4,147,2
2015,3,Jujuy,56787,47261,6,199,3
2015,3,La Pampa,78651,65456,8,276,4
2015,3,La Rioja,38651,32167,4,135,2
2015,3,Mendoza,358373,298253,39,1,19
2015,3,Misiones,113211,94219,12,397,6
2015,3,Neuquén,98784,82212,10,346,5
2015,3,Río Negro,133855,111399,14,469,7
2015,3,Salta,141105,117433,15,495,7
2015,3,San Juan,103306,85976,11,362,5
2015,3,San Luis,53069,44166,5,186,2
2015,3,Santa Cruz,60005,49939,6,210,3
2015,3,Santa Fe,766859,638212,83,2,42
2015,3,Santiago del Estero,69165,57562,7,242,3
2015,3,Tierra del Fuego,35152,29256,3,123,1
2015,3,Tucumán,213481,177668,23,748,11
2015,2,Buenos Aires,4665956,3872029,515,16,262
2015,2,Capital Federal,1654650,1373106,182,5,93
2015,2,Catamarca,39141,32481,4,135,2
2015,2,Chaco,104243,86506,11,359,5
2015,2,Chubut,107612,89302,11,371,6
2015,2,Córdoba,724175,600954,79,2,40
2015,2,Corrientes,108530,90063,11,374,6
2015,2,Entre Ríos,229823,190718,25,792,12
2015,2,Formosa,41848,34728,4,144,2
2015,2,Jujuy,56443,46840,6,194,3
2015,2,La Pampa,78106,64816,8,269,4
2015,2,La Rioja,38903,32283,4,134,2
2015,2,Mendoza,350326,290717,38,1,19
2015,2,Misiones,110526,91719,12,381,6
2015,2,Neuquén,97708,81082,10,337,5
2015,2,Río Negro,131424,109062,14,453,7
2015,2,Salta,140955,116971,15,486,7
2015,2,San Juan,100775,83628,11,347,5
2015,2,San Luis,52860,43866,5,182,2
2015,2,Santa Cruz,58897,48876,6,203,3
2015,2,Santa Fe,764496,634414,84,2,43
2015,2,Santiago del Estero,70102,58175,7,241,3
2015,2,Tierra del Fuego,34186,28369,3,118,1
2015,2,Tucumán,212182,176078,23,731,11
2015,1,Buenos Aires,4801996,3979224,540,17,265
2015,1,Capital Federal,1634130,1354140,183,5,90
2015,1,Catamarca,39142,32436,4,143,2
2015,1,Chaco,104250,86388,11,381,5
2015,1,Chubut,104281,86414,11,381,5
2015,1,Córdoba,729084,604164,82,2,40
2015,1,Corrientes,108534,89938,12,397,5
2015,1,Entre Ríos,229839,190458,25,841,12
2015,1,Formosa,41854,34683,4,153,2
2015,1,Jujuy,56446,46775,6,206,3
2015,1,La Pampa,76862,63693,8,281,4
2015,1,La Rioja,38902,32237,4,142,2
2015,1,Mendoza,339093,280993,38,1,18
2015,1,Misiones,110526,91589,12,404,6
2015,1,Neuquén,96099,79633,10,351,5
2015,1,Río Negro,127343,105523,14,466,7
2015,1,Salta,140946,116796,15,515,7
2015,1,San Juan,98340,81490,11,360,5
2015,1,San Luis,52039,43123,5,190,2
2015,1,Santa Cruz,57685,47801,6,211,3
2015,1,Santa Fe,766506,635174,86,2,42
2015,1,Santiago del Estero,70101,58091,7,256,3
2015,1,Tierra del Fuego,33423,27697,3,122,1
2015,1,Tucumán,212265,175896,23,776,11
2014,4,Buenos Aires,4463139,3680053,509,15,258
2014,4,Capital Federal,1615174,1331781,184,5,93
2014,4,Catamarca,39423,32506,4,135,2
2014,4,Chaco,105378,86890,12,360,6
2014,4,Chubut,99562,82093,11,341,5
2014,4,Córdoba,731926,603505,83,2,42
2014,4,Corrientes,105219,86758,12,360,6
2014,4,Entre Ríos,230049,189685,26,787,13
2014,4,Formosa,42133,34741,4,144,2
2014,4,Jujuy,56456,46550,6,193,3
2014,4,La Pampa,73063,60244,8,250,4
2014,4,La Rioja,39162,32291,4,134,2
2014,4,Mendoza,327635,270148,37,1,18
2014,4,Misiones,111784,92171,12,382,6
2014,4,Neuquén,93902,77426,10,321,5
2014,4,Río Negro,123365,101720,14,422,7
2014,4,Salta,141211,116435,16,483,8
2014,4,San Juan,95135,78443,10,325,5
2014,4,San Luis,51237,42247,5,175,2
2014,4,Santa Cruz,41523,34237,4,142,2
2014,4,Santa Fe,770455,635273,87,2,44
2014,4,Santiago del Estero,70523,58150,8,241,4
2014,4,Tierra del Fuego,32912,27137,3,113,1
2014,4,Tucumán,212990,175620,24,728,12
2014,3,Buenos Aires,4405762,3631816,500,14,258
2014,3,Capital Federal,1607082,1324771,182,5,94
2014,3,Catamarca,39453,32522,4,133,2
2014,3,Chaco,105864,87267,12,358,6
2014,3,Chubut,98074,80845,11,332,5
2014,3,Córdoba,733130,604343,83,2,43
2014,3,Corrientes,105505,86971,11,357,6
2014,3,Entre Ríos,230563,190061,26,780,13
2014,3,Formosa,42310,34878,4,143,2
2014,3,Jujuy,56366,46464,6,191,3
2014,3,La Pampa,72155,59480,8,244,4
2014,3,La Rioja,39373,32457,4,133,2
2014,3,Mendoza,320228,263975,36,1,18
2014,3,Misiones,111998,92324,12,379,6
2014,3,Neuquén,92775,76477,10,314,5
2014,3,Río Negro,121350,100033,13,410,7
2014,3,Salta,141312,116488,16,478,8
2014,3,San Juan,93056,76709,10,315,5
2014,3,San Luis,50779,41858,5,172,2
2014,3,Santa Cruz,41015,33810,4,139,2
2014,3,Santa Fe,772744,636998,87,2,45
2014,3,Santiago del Estero,70719,58296,8,239,4
2014,3,Tierra del Fuego,32698,26954,3,111,1
2014,3,Tucumán,212958,175548,24,720,12
2014,2,Buenos Aires,4379382,3610509,492,14,262
2014,2,Capital Federal,1602485,1321143,180,5,96
2014,2,Catamarca,39351,32442,4,129,2
2014,2,Chaco,102310,84347,11,336,6
2014,2,Chubut,97603,80467,10,320,5
2014,2,Córdoba,737107,607696,82,2,44
2014,2,Corrientes,102628,84609,11,337,6
2014,2,Entre Ríos,223774,184487,25,734,13
2014,2,Formosa,42246,34829,4,139,2
2014,2,Jujuy,56187,46323,6,184,3
2014,2,La Pampa,72837,60049,8,239,4
2014,2,La Rioja,39474,32543,4,130,2
2014,2,Mendoza,320351,264109,35,1,19
2014,2,Misiones,110906,91434,12,364,6
2014,2,Neuquén,92792,76501,10,305,5
2014,2,Río Negro,121250,99963,13,398,7
2014,2,Salta,141122,116346,15,463,8
2014,2,San Juan,92439,76210,10,303,5
2014,2,San Luis,51093,42123,5,168,3
2014,2,Santa Cruz,40728,33577,4,134,2
2014,2,Santa Fe,767767,632973,86,2,45
2014,2,Santiago del Estero,70616,58218,7,232,4
2014,2,Tierra del Fuego,32631,26902,3,107,1
2014,2,Tucumán,211913,174709,23,695,12
2014,1,Buenos Aires,4385408,3622153,488,14,260
2014,1,Capital Federal,1604914,1325588,178,5,95
2014,1,Catamarca,39318,32476,4,127,2
2014,1,Chaco,102435,84607,11,331,6
2014,1,Chubut,97607,80618,10,316,5
2014,1,Córdoba,741515,612460,82,2,44
2014,1,Corrientes,102607,84748,11,332,6
2014,1,Entre Ríos,223508,184607,24,723,13
2014,1,Formosa,42201,34856,4,136,2
2014,1,Jujuy,55953,46214,6,181,3
2014,1,La Pampa,72038,59500,8,233,4
2014,1,La Rioja,39625,32728,4,128,2
2014,1,Mendoza,320413,264647,35,1,19
2014,1,Misiones,111018,91696,12,359,6
2014,1,Neuquén,92732,76593,10,300,5
2014,1,Río Negro,121289,100180,13,392,7
2014,1,Salta,140841,116328,15,455,8
2014,1,San Juan,92461,76369,10,299,5
2014,1,San Luis,51097,42205,5,165,3
2014,1,Santa Cruz,40625,33555,4,131,2
2014,1,Santa Fe,770361,636284,85,2,45
2014,1,Santiago del Estero,70717,58409,7,229,4
2014,1,Tierra del Fuego,32631,26951,3,106,1
2014,1,Tucumán,210917,174209,23,682,12
