A̱o,Mes,Personal,Claro,Nextel,Movistar,Total general
2022,2,71090,98497,0,95792,265379
2022,1,73717,88856,0,96240,258813
2021,12,75534,116284,0,102538,294356
2021,11,81311,126052,0,104985,312348
2021,10,59953,109684,0,94402,264039
2021,9,64926,114432,0,102903,282261
2021,8,51784,95638,0,105276,252698
2021,7,60070,90200,0,86468,236738
2021,6,60496,76371,0,69162,206029
2021,5,54806,69968,0,64470,189244
2021,4,59652,92317,0,80413,232382
2021,3,48500,90372,0,88262,227134
2021,2,38849,70465,0,67414,176728
2021,1,50281,59515,0,60438,170234
2020,12,64018,52124,0,85248,201390
2020,11,66673,67793,0,101097,235563
2020,10,74301,64224,0,103392,241917
2020,9,104995,77443,0,114069,296507
2020,8,104601,78804,0,112460,295865
2020,7,76580,86328,0,90651,253559
2020,6,81723,86023,0,81860,249606
2020,5,52346,72532,0,61038,185916
2020,4,40750,52115,0,38307,131172
2020,3,93260,91794,0,74891,259945
2020,2,105456,105933,0,99332,310721
2020,1,105975,119695,0,93691,319361
2019,12,118926,115255,0,81623,315804
2019,11,122121,100593,0,90280,312994
2019,10,179629,95397,0,102656,377682
2019,9,164917,76641,0,111005,352563
2019,8,112291,86058,0,124810,323159
2019,7,103843,82485,0,143327,329655
2019,6,88400,67440,0,129752,285592
2019,5,106434,87637,0,137443,331514
2019,4,92931,76450,0,102819,272200
2019,3,76189,69313,0,73611,219113
2019,2,76092,71701,0,66692,214485
2019,1,71114,72971,0,59687,203772
2018,12,57220,57390,0,55891,170501
2018,11,60961,59247,0,54266,174474
2018,10,63340,59447,0,48759,171546
2018,9,58889,51444,0,43296,153629
2018,8,55234,51724,2,42499,149459
2018,7,51810,40638,2,39969,132419
2018,6,54088,38957,3,38406,131454
2018,5,52440,43353,1,43987,139781
2018,4,36733,39355,1,40674,116763
2018,3,34699,42155,7,38111,114972
2018,2,27757,32373,7,31010,91147
2018,1,33082,37392,6,35985,106465
2017,12,34212,31605,5,36796,102618
2017,11,38124,32483,7,43126,113740
2017,10,35106,31308,12,44360,110786
2017,9,29727,29254,16,45112,104109
2017,8,32438,33573,11,48605,114627
2017,7,28801,33225,10,48663,110699
2017,6,27878,30152,10,46635,104675
2017,5,26815,37117,12,46360,110304
2017,4,22779,35362,9,42091,100241
2017,3,35054,44484,17,45757,125312
2017,2,28147,36141,13,33437,97738
2017,1,40045,45136,11,32769,117961
2016,12,49056,49418,8,41295,139777
2016,11,60749,59173,31,53090,173043
2016,10,63646,66547,21,48557,178771
2016,9,66049,66661,12,44350,177072
2016,8,61158,64310,30,55470,180968
2016,7,52424,56027,16,45767,154234
2016,6,52415,56339,19,45423,154196
2016,5,47523,57266,33,43505,148327
2016,4,43425,54620,22,45207,143274
2016,3,40567,46820,46,40978,128411
2016,2,34206,43156,38,29873,107273
2016,1,33697,41738,37,27419,102891
2015,12,39724,49628,48,27740,117140
2015,11,35672,49509,67,31906,117154
2015,10,36550,62394,70,28987,128001
2015,9,34797,66242,101,23639,124779
2015,8,32414,56791,81,17030,106316
2015,7,38991,64814,122,18966,122893
2015,6,43877,67324,115,16170,127486
2015,5,29633,58549,103,12651,100936
2015,4,30317,59543,136,13426,103422
2015,3,27141,45272,100,11898,84411
2015,2,23254,40913,83,9631,73881
2015,1,32142,42240,144,10161,84687
2014,12,34862,41532,348,13603,90345
2014,11,25707,35730,124,12571,74132
2014,10,39893,41998,116,15247,97254
2014,9,32561,41094,172,15167,88994
2014,8,27979,39750,123,12412,80264
2014,7,28078,41544,155,15936,85713
2014,6,24978,38601,149,10941,74669
2014,5,22177,27152,163,9035,58527
2014,4,20250,21888,155,5750,48043
2014,3,14253,21314,170,5635,41372
2014,2,11052,16992,193,4948,33185
2014,1,10790,14575,134,4724,30223
2013,12,13106,14760,153,5274,33293
2013,11,11438,15022,151,6625,33236
2013,10,12349,15240,175,6799,34563
2013,9,11604,14897,210,6972,33683
2013,8,7539,13439,213,7351,28542
2013,7,7831,12628,226,6420,27105
2013,6,6376,9496,257,5936,22065
2013,5,8169,12169,318,8227,28883
2013,4,8107,11615,240,7560,27522
2013,3,7424,9224,249,7368,24265
2013,2,6277,8016,200,5836,20329
2013,1,9208,11356,271,6720,27555
2012,12,8612,10740,280,7165,26797
2012,11,10914,11456,398,7671,30439
2012,10,13126,13664,375,8452,35617
2012,9,11975,12780,405,8232,33392
2012,8,12225,10677,599,10017,33518
2012,7,13494,9651,487,10173,33805
2012,6,10472,10153,676,9523,30824
2012,5,10770,15663,312,7890,34635
2012,4,4883,2188,26,937,8034
2012,3,40,72,0,41,153
