A̱o,Trimestre,Minutos pospago salientes (miles),Minutos prepago salientes (miles),Total de minutos salientes (miles)
2013,1,8785943,6582117,15368060
2013,2,9512689,7108640,16621329
2013,3,10315484,7335154,17650638
2013,4,9809515,6250549,16060064
2014,1,10128751,5799223,15927974
2014,2,10821463,6438071,17259534
2014,3,11524344,7179152,18703495
2014,4,11997330,7147630,19144961
2015,1,10273637,6480172,16753809
2015,2,11226576,6579819,17806395
2015,3,11766711,7198826,18965537
2015,4,11905073,7301039,19206111
2016,1,11230991,6656647,17887638
2016,2,11493027,6778732,18271759
2016,3,11923391,7077838,19001229
2016,4,15960765,6938892,22899656
2017,1,14630269,6209983,20840252
2017,2,15315167,6293563,21608730
2017,3,15106275,6308373,21414647
2017,4,14164552,5380710,19545262
2018,1,13423580,5850985,19274565
2018,2,14240217,6027374,20267591
2018,3,14574305,6108477,20682782
2018,4,14915060,6613685,21528745
2019,1,13733817,6182149,20364355
2019,2,13986048,6174603,20160651
2019,3,13444769,6819314,20264083
2019,4,11828877,6567190,18396067
2020,1,13764635,6211879,19976514
2020,2,14584356,5949100,20533456
2020,3,14536705,5696019,20232724
2020,4,14421377,5768783,20190160
2021,1,12992366,5469581,18461947
2021,2,13869978,5354043,19224021
2021,3,13152393,5440364,18592757
2021,4,12944094,5456088,18400182
2022,1,12741608,3588769,16330376
